class,car_name,livery_name,livery_id,is_mod
ARC_Cam,ARC Camaro,Leo Panthera Autosports #1,51,FALSE
ARC_Cam,ARC Camaro,Leo Panthera Autosports #2,52,FALSE
ARC_Cam,ARC Camaro,Team Hudson Hire Racing #3,53,FALSE
ARC_Cam,ARC Camaro,Team Hudson Hire Racing #4,54,FALSE
ARC_Cam,ARC Camaro,Apex Motorsports #08,55,FALSE
ARC_Cam,ARC Camaro,Apex Motorsports #09,56,FALSE
ARC_Cam,ARC Camaro,Dev Star Racing #11,57,FALSE
ARC_Cam,ARC Camaro,Dev Star Racing #12,58,FALSE
ARC_Cam,ARC Camaro,Reiza Racing #13,59,FALSE
ARC_Cam,ARC Camaro,Reiza Racing #14,60,FALSE
ARC_Cam,ARC Camaro,Team Racer Rubber #22,61,FALSE
ARC_Cam,ARC Camaro,Team Racer Rubber #23,62,FALSE
ARC_Cam,ARC Camaro,Team Redlight #36,63,FALSE
ARC_Cam,ARC Camaro,Team Redlight #37,64,FALSE
ARC_Cam,ARC Camaro,Bebeto Tyres #41,65,FALSE
ARC_Cam,ARC Camaro,Bebeto Tyres #42,66,FALSE
ARC_Cam,ARC Camaro,Eagle Ray Motorsport #51,67,FALSE
ARC_Cam,ARC Camaro,Eagle Ray Motorsport #52,68,FALSE
ARC_Cam,ARC Camaro,Brookfield Motorsports #72,69,FALSE
ARC_Cam,ARC Camaro,Brookfield Motorsports #73,70,FALSE
ARC_Cam,ARC Camaro,Mobius Autosports #98,71,FALSE
ARC_Cam,ARC Camaro,Mobius Autosports #99,72,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #911,51,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #00,52,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #1,53,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #16,54,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #53,55,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #55,56,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #65,57,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #78,58,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #87,59,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #96,60,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #97,61,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #98,62,FALSE
Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #911,51,FALSE
Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #2,52,FALSE
Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #4,53,FALSE
Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #14,54,FALSE
Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #20,55,FALSE
Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #29,56,FALSE
Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #34,57,FALSE
Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #41,58,FALSE
Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #70,59,FALSE
Carrera Cup,Porsche 911 GT3 Cup 4.0,Porsche 911 GT3 Cup 4.0 #94,60,FALSE
Cat_Academy,Caterham Academy,Caterham Academy - Tim Childress #00,51,FALSE
Cat_Academy,Caterham Academy,Caterham Academy - Carolyn Jenners #63,52,FALSE
Cat_Academy,Caterham Academy,Caterham Academy - Omar Uppen #01,53,FALSE
Cat_Academy,Caterham Academy,Caterham Academy - Mark Roberts #02,54,FALSE
Cat_Academy,Caterham Academy,Caterham Academy - Jim Elvery #03,55,FALSE
Cat_Academy,Caterham Academy,Caterham Academy - Neil Connor #04,56,FALSE
Cat_Academy,Caterham Academy,Caterham Academy - Dave Ripley #5,57,FALSE
Cat_Academy,Caterham Academy,Caterham Academy - Ben Gilles #05,58,FALSE
Cat_Academy,Caterham Academy,Caterham Academy - Mark Askith #12,59,FALSE
Cat_Academy,Caterham Academy,Caterham Academy - Stephen Jill #22,60,FALSE
Cat_Academy,Caterham Academy,Caterham Academy - John Timberlake #77,61,FALSE
Cat_Academy,Caterham Academy,Caterham Academy - Chris Welsh #27,62,FALSE
Cat_Academy,Caterham Academy,Caterham Academy - Ben Gilles #35,63,FALSE
Cat_Academy,Caterham Academy,Caterham Academy - Paul Verne #27,64,FALSE
Cat_Academy,Caterham Academy,Caterham Academy - Jay McDonald #35,65,FALSE
Cat_Academy,Caterham Academy,Caterham Academy - Mike OReilly #33,66,FALSE
Cat_Academy,Caterham Academy,Caterham Academy - James Cassidy #37,67,FALSE
Cat_Academy,Caterham Academy,Caterham Academy - Erick Tyler #41,68,FALSE
Cat_Academy,Caterham Academy,Caterham Academy - John Stiles #42,69,FALSE
